episode,total_timesteps,length,reward,total_moves,move_ratio,total_senses,sense_ratio,initial_distance_to_victim,distance_to_maximum_belief,distance_to_maximum_belief_reduction,initial_belief_shannon_entropy,belief_shannon_entropy,belief_shannon_entropy_reduction,success,success_rate,failure,failure_rate
108,33089,33,401.684654,26,0.7878787878787878,7,0.21212121212121213,10,20.0,-10.0,8.60733,-0.0,8.60733,1,0.39814814814814814,0,0.6018518518518519
109,33489,400,-2.011388,253,0.6325,147,0.3675,13,7.0,6.0,8.599912,7.518638610839844,1.0812731,0,0.3944954128440367,1,0.6055045871559633
110,33627,138,404.835124,101,0.7318840579710145,37,0.26811594202898553,14,3.0,11.0,8.614708,-0.0,8.614708,1,0.4,0,0.6
111,33960,333,400.513369,234,0.7027027027027027,99,0.2972972972972973,4,7.0,-3.0,8.603626,-0.0,8.603626,1,0.40540540540540543,0,0.5945945945945946
112,34360,400,-0.427335,293,0.7325,107,0.2675,14,7.0,7.0,8.611026,6.794506072998047,1.8165197,0,0.4017857142857143,1,0.5982142857142857
113,34508,148,405.74972,99,0.668918918918919,49,0.3310810810810811,30,3.0,27.0,8.625709,-0.0,8.625709,1,0.40707964601769914,0,0.5929203539823009
114,34908,400,2.513083,309,0.7725,91,0.2275,20,11.0,9.0,8.60733,7.9659504890441895,0.64137983,0,0.40350877192982454,1,0.5964912280701754
115,35308,400,-1.457976,293,0.7325,107,0.2675,17,11.0,6.0,8.614708,6.68298864364624,1.9317193,0,0.4,1,0.6
116,35357,49,400.606956,35,0.7142857142857143,14,0.2857142857142857,8,4.0,4.0,8.629356,-0.0,8.629356,1,0.4051724137931034,0,0.5948275862068966
117,35757,400,0.674683,278,0.695,122,0.305,14,10.0,4.0,8.618386,6.530739784240723,2.0876465,0,0.4017094017094017,1,0.5982905982905983
118,35832,75,400.182721,42,0.56,33,0.44,7,3.0,4.0,8.60733,-0.0,8.60733,1,0.4067796610169492,0,0.5932203389830508
119,36056,224,400.256611,146,0.6517857142857143,78,0.3482142857142857,9,3.0,6.0,8.618386,-0.0,8.618386,1,0.4117647058823529,0,0.5882352941176471
120,36456,400,-1.269355,280,0.7,120,0.3,5,11.0,-6.0,8.611026,7.074834823608398,1.536191,0,0.4083333333333333,1,0.5916666666666667
121,36856,400,2.33873,213,0.5325,187,0.4675,20,12.0,8.0,8.614708,7.498561382293701,1.1161466,0,0.4049586776859504,1,0.5950413223140496
122,37256,400,0.862066,297,0.7425,103,0.2575,8,16.0,-8.0,8.618386,7.653889179229736,0.9644971,0,0.4016393442622951,1,0.5983606557377049
123,37581,325,397.638275,209,0.6430769230769231,116,0.3569230769230769,7,6.0,1.0,8.599912,-0.0,8.599912,1,0.4065040650406504,0,0.5934959349593496
124,37746,165,401.650198,98,0.593939393939394,67,0.40606060606060607,11,4.0,7.0,8.618386,-0.0,8.618386,1,0.4112903225806452,0,0.5887096774193549
125,38146,400,-1.273939,282,0.705,118,0.295,23,7.0,16.0,8.629356,7.1218671798706055,1.5074892,0,0.408,1,0.592
126,38546,400,0.989218,310,0.775,90,0.225,13,14.0,-1.0,8.622052,7.682751178741455,0.939301,0,0.40476190476190477,1,0.5952380952380952
127,38721,175,404.53311,115,0.6571428571428571,60,0.34285714285714286,18,7.0,11.0,8.622052,-0.0,8.622052,1,0.4094488188976378,0,0.5905511811023622
128,38723,2,399.352252,2,1.0,0,0.0,3,4.0,-1.0,8.614708,-0.0,8.614708,1,0.4140625,0,0.5859375
129,38772,49,400.215225,38,0.7755102040816326,11,0.22448979591836735,13,6.0,7.0,8.618386,-0.0,8.618386,1,0.4186046511627907,0,0.5813953488372093
130,38793,21,400.910206,19,0.9047619047619048,2,0.09523809523809523,7,10.0,-3.0,8.60733,-0.0,8.60733,1,0.4230769230769231,0,0.5769230769230769
131,38975,182,400.179561,127,0.6978021978021978,55,0.3021978021978022,15,6.0,9.0,8.618386,-0.0,8.618386,1,0.42748091603053434,0,0.5725190839694656
132,39180,205,400.938585,158,0.7707317073170732,47,0.22926829268292684,19,3.0,16.0,8.614708,-0.0,8.614708,1,0.4318181818181818,0,0.5681818181818182
133,39441,261,402.455351,194,0.7432950191570882,67,0.2567049808429119,26,10.0,16.0,8.629356,-0.0,8.629356,1,0.43609022556390975,0,0.5639097744360902
134,39599,158,401.132994,117,0.740506329113924,41,0.25949367088607594,14,0.0,14.0,8.614708,-0.0,8.614708,1,0.44029850746268656,0,0.5597014925373134
135,39643,44,402.852379,36,0.8181818181818182,8,0.18181818181818182,13,0.0,13.0,8.636623,-0.0,8.636623,1,0.4444444444444444,0,0.5555555555555556
136,39724,81,400.961649,51,0.6296296296296297,30,0.37037037037037035,5,4.0,1.0,8.60733,-0.0,8.60733,1,0.4485294117647059,0,0.5514705882352942
137,40124,400,-2.045329,304,0.76,96,0.24,11,14.0,-3.0,8.625709,7.736201286315918,0.8895073,0,0.44525547445255476,1,0.5547445255474452
138,40458,334,404.595828,257,0.7694610778443114,77,0.23053892215568864,21,5.0,16.0,8.640245,-0.0,8.640245,1,0.4492753623188406,0,0.5507246376811594
139,40858,400,-2.686565,308,0.77,92,0.23,17,24.0,-7.0,8.611026,8.339242935180664,0.27178288,0,0.4460431654676259,1,0.5539568345323741
140,41258,400,0.707654,306,0.765,94,0.235,13,12.0,1.0,8.60733,7.767719268798828,0.83961105,0,0.44285714285714284,1,0.5571428571428572
141,41658,400,-1.724858,252,0.63,148,0.37,15,24.0,-9.0,8.60733,7.4006667137146,1.2066636,0,0.4397163120567376,1,0.5602836879432624
142,41724,66,402.69164,46,0.696969696969697,20,0.30303030303030304,15,9.0,6.0,8.632996,-0.0,8.632996,1,0.44366197183098594,0,0.5563380281690141
143,42124,400,0.179741,264,0.66,136,0.34,16,14.0,2.0,8.622052,7.079434394836426,1.5426178,0,0.4405594405594406,1,0.5594405594405595
144,42524,400,2.126778,284,0.71,116,0.29,12,8.0,4.0,8.618386,6.51599645614624,2.1023898,0,0.4375,1,0.5625
145,42880,356,403.647957,277,0.7780898876404494,79,0.22191011235955055,21,9.0,12.0,8.632996,-0.0,8.632996,1,0.4413793103448276,0,0.5586206896551724
146,43182,302,400.688462,183,0.6059602649006622,119,0.39403973509933776,12,2.0,10.0,8.60733,-0.0,8.60733,1,0.4452054794520548,0,0.5547945205479452
147,43443,261,403.760319,175,0.6704980842911877,86,0.32950191570881227,17,4.0,13.0,8.614708,-0.0,8.614708,1,0.4489795918367347,0,0.5510204081632653
148,43843,400,-0.051462,313,0.7825,87,0.2175,15,17.0,-2.0,8.618386,7.610561370849609,1.0078249,0,0.44594594594594594,1,0.5540540540540541
149,44243,400,-1.213074,275,0.6875,125,0.3125,16,19.0,-3.0,8.611026,8.196715354919434,0.41431046,0,0.4429530201342282,1,0.5570469798657718
150,44278,35,400.756034,31,0.8857142857142857,4,0.11428571428571428,9,3.0,6.0,8.618386,-0.0,8.618386,1,0.44666666666666666,0,0.5533333333333333
151,44308,30,399.709623,18,0.6,12,0.4,9,6.0,3.0,8.618386,-0.0,8.618386,1,0.4503311258278146,0,0.5496688741721855
